GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
1620000US3600199,3600199,"Adams village, New York",1775,1783,1790,1815,1852,1830,1827,1812,1759,1761
1620000US3600276,3600276,"Addison village, New York",1763,1763,1762,1760,1746,1738,1724,1709,1696,1685
1620000US3600342,3600342,"Afton village, New York",822,831,829,827,823,817,815,809,804,798
1620000US3600408,3600408,"Airmont village, New York",8628,8625,8646,8729,8766,8821,8851,8863,8859,8888
1620000US3600441,3600441,"Akron village, New York",2868,2890,2889,2882,2882,2887,2887,2877,2875,2874
1620000US3601000,3601000,"Albany city, New York",97856,97840,97756,98025,98550,98734,98673,98478,98387,98251
1620000US3601033,3601033,"Albion village, New York",6056,6073,6074,5980,5952,6062,6058,5991,5957,5902
1620000US3601088,3601088,"Alden village, New York",2605,2605,2604,2600,2613,2612,2602,2594,2581,2582
1620000US3601154,3601154,"Alexander village, New York",509,509,511,510,508,503,499,501,498,495
1620000US3601187,3601187,"Alexandria Bay village, New York",1078,1077,1076,1090,1113,1099,1097,1088,1056,1057
1620000US3601198,3601198,"Alfred village, New York",4174,4175,4176,4122,4051,4029,4063,4054,4050,4041
1620000US3601286,3601286,"Allegany village, New York",1816,1805,1802,1789,1776,1766,1755,1736,1728,1714
1620000US3601440,3601440,"Almond village, New York",466,466,466,464,459,457,454,450,445,442
1620000US3601517,3601517,"Altamont village, New York",1720,1717,1716,1718,1718,1719,1717,1709,1714,1708
1620000US3601737,3601737,"Ames village, New York",145,145,145,143,142,141,141,140,140,139
1620000US3602044,3602044,"Amityville village, New York",9523,9500,9510,9538,9523,9515,9494,9461,9542,9524
1620000US3602066,3602066,"Amsterdam city, New York",18620,18604,18612,18370,18246,18111,18060,17977,17870,17844
1620000US3602143,3602143,"Andover village, New York",1042,1041,1042,1037,1029,1023,1016,1007,1000,994
1620000US3602176,3602176,"Angelica village, New York",869,869,870,866,857,852,846,839,833,832
1620000US3602198,3602198,"Angola village, New York",2127,2136,2135,2134,2135,2136,2134,2127,2121,2119
1620000US3602286,3602286,"Antwerp village, New York",686,671,673,683,697,689,686,681,661,663
1620000US3602407,3602407,"Arcade village, New York",2071,2067,2063,2046,2038,2016,1992,1980,1962,1965
1620000US3602506,3602506,"Ardsley village, New York",4452,4408,4416,4451,4463,4493,4507,4583,4599,4589
1620000US3602550,3602550,"Argyle village, New York",306,302,302,302,300,300,298,298,295,294
1620000US3602583,3602583,"Arkport village, New York",844,845,845,845,838,833,827,817,811,805
1620000US3602737,3602737,"Asharoken village, New York",654,654,657,661,658,658,657,657,655,651
1620000US3602902,3602902,"Athens village, New York",1668,1673,1669,1658,1644,1634,1618,1619,1609,1603
1620000US3602968,3602968,"Atlantic Beach village, New York",1891,1888,1891,1899,1906,1910,1913,1916,1917,1922
1620000US3603001,3603001,"Attica village, New York",2547,2538,2541,2523,2518,2497,2472,2461,2438,2440
1620000US3603078,3603078,"Auburn city, New York",27687,27688,27663,27546,27356,27180,27068,27019,26779,26704
1620000US3603188,3603188,"Aurora village, New York",724,724,724,695,778,703,724,724,722,722
1620000US3603331,3603331,"Avoca village, New York",946,946,946,948,938,935,926,920,913,905
1620000US3603353,3603353,"Avon village, New York",3394,3381,3375,3360,3350,3326,3316,3304,3282,3252
1620000US3603408,3603408,"Babylon village, New York",12166,12160,12177,12208,12191,12192,12182,12173,12140,12145
